country,year,co2_per_capita
Canada,1960,10.761
Canada,1961,10.616
Canada,1962,11.115
Canada,1963,11.118
Canada,1964,12.293
Canada,1965,12.795
Canada,1966,12.918
Canada,1967,13.8
Canada,1968,14.628
Canada,1969,14.601
Canada,1970,15.917
Canada,1971,16.094
Canada,1972,17.136
Canada,1973,16.944
Canada,1974,17.079
Canada,1975,17.15
Canada,1976,17.019
Canada,1977,17.195
Canada,1978,17.341
Canada,1979,18.237
Canada,1980,18.067
Canada,1981,17.313
Canada,1982,16.511
Canada,1983,16.101
Canada,1984,16.609
Canada,1985,16.318
Canada,1986,15.497
Canada,1987,16.302
Canada,1988,16.993
Canada,1989,16.99
Canada,1990,16.568
Canada,1991,16.061
Canada,1992,16.36
Canada,1993,16.196
Canada,1994,16.519
Canada,1995,16.777
Canada,1996,17.149
Canada,1997,17.463
Canada,1998,17.57
Canada,1999,17.897
Canada,2000,18.469
Canada,2001,18.023
Canada,2002,18.008
Canada,2003,18.384
Canada,2004,18.162
Canada,2005,17.838
Canada,2006,17.474
Canada,2007,18.061
Canada,2008,17.357
Canada,2009,16.192
Canada,2010,16.387
Canada,2011,16.521
Canada,2012,16.379
Canada,2013,16.331
Canada,2014,16.095
Canada,2015,16.072
Canada,2016,15.521
Canada,2017,15.635
Canada,2018,15.779
Canada,2019,15.583
Canada,2020,14.117
Canada,2021,14.3
China,1960,1.221
China,1961,0.871
China,1962,0.692
China,1963,0.668
China,1964,0.654
China,1965,0.691
China,1966,0.74
China,1967,0.605
China,1968,0.635
China,1969,0.758
China,1970,0.982
China,1971,1.078
China,1972,1.123
China,1973,1.144
China,1974,1.143
China,1975,1.293
China,1976,1.32
China,1977,1.423
China,1978,1.563
China,1979,1.576
China,1980,1.521
China,1981,1.481
China,1982,1.585
China,1983,1.646
China,1984,1.767
China,1985,1.885
China,1986,1.952
China,1987,2.058
China,1988,2.174
China,1989,2.172
China,1990,2.154
China,1991,2.226
China,1992,2.307
China,1993,2.443
China,1994,2.568
China,1995,2.757
China,1996,2.852
China,1997,2.836
China,1998,2.695
China,1999,2.83
China,2000,2.883
China,2001,2.926
China,2002,3.211
China,2003,3.745
China,2004,4.028
China,2005,4.503
China,2006,4.942
China,2007,5.281
China,2008,5.636
China,2009,5.889
China,2010,6.391
China,2011,7.021
China,2012,7.156
China,2013,7.235
China,2014,7.218
China,2015,7.08
China,2016,6.966
China,2017,7.099
China,2018,7.307
China,2019,7.554
China,2020,7.689
China,2021,8.046
France,1960,6.486
France,1961,6.842
France,1962,7.139
France,1963,7.174
France,1964,7.743
France,1965,7.546
France,1966,7.814
France,1967,8.228
France,1968,8.425
France,1969,8.853
France,1970,9.114
France,1971,9.68
France,1972,9.998
France,1973,10.397
France,1974,9.982
France,1975,9.194
France,1976,9.936
France,1977,9.579
France,1978,9.945
France,1979,9.96
France,1980,9.515
France,1981,8.504
France,1982,8.108
France,1983,7.754
France,1984,7.512
France,1985,7.353
France,1986,7.05
France,1987,6.969
France,1988,6.896
France,1989,7.116
France,1990,6.974
France,1991,7.386
France,1992,7.151
France,1993,6.802
France,1994,6.673
France,1995,6.727
France,1996,6.965
France,1997,6.811
France,1998,7.122
France,1999,7.064
France,2000,6.935
France,2001,6.975
France,2002,6.868
France,2003,6.907
France,2004,6.884
France,2005,6.878
France,2006,6.672
France,2007,6.468
France,2008,6.331
France,2009,5.976
France,2010,6.032
France,2011,5.649
France,2012,5.659
France,2013,5.662
France,2014,5.144
France,2015,5.196
France,2016,5.226
France,2017,5.261
France,2018,5.018
France,2019,4.913
France,2020,4.343
France,2021,4.741
Germany,1960,11.14
Germany,1961,11.342
Germany,1962,11.903
Germany,1963,12.641
Germany,1964,12.846
Germany,1965,12.627
Germany,1966,12.418
Germany,1967,12.131
Germany,1968,12.683
Germany,1969,13.485
Germany,1970,13.105
Germany,1971,13.211
Germany,1972,13.243
Germany,1973,13.802
Germany,1974,13.517
Germany,1975,12.768
Germany,1976,13.92
Germany,1977,13.457
Germany,1978,13.822
Germany,1979,14.347
Germany,1980,14.142
Germany,1981,13.497
Germany,1982,13.088
Germany,1983,13.042
Germany,1984,13.32
Germany,1985,13.448
Germany,1986,13.463
Germany,1987,13.221
Germany,1988,13.112
Germany,1989,12.783
Germany,1990,13.254
Germany,1991,12.704
Germany,1992,12.038
Germany,1993,11.863
Germany,1994,11.616
Germany,1995,11.57
Germany,1996,11.792
Germany,1997,11.431
Germany,1998,11.319
Germany,1999,10.978
Germany,2000,11.028
Germany,2001,11.239
Germany,2002,11.044
Germany,2003,11.071
Germany,2004,10.91
Germany,2005,10.667
Germany,2006,10.815
Germany,2007,10.485
Germany,2008,10.521
Germany,2009,9.721
Germany,2010,10.237
Germany,2011,9.935
Germany,2012,9.978
Germany,2013,10.176
Germany,2014,9.678
Germany,2015,9.693
Germany,2016,9.721
Germany,2017,9.508
Germany,2018,9.101
Germany,2019,8.505
Germany,2020,7.673
Germany,2021,8.09
India,1960,0.25
India,1961,0.264
India,1962,0.284
India,1963,0.298
India,1964,0.285
India,1965,0.307
India,1966,0.312
India,1967,0.306
India,1968,0.326
India,1969,0.325
India,1970,0.326
India,1971,0.337
India,1972,0.348
India,1973,0.351
India,1974,0.354
India,1975,0.376
India,1976,0.384
India,1977,0.397
India,1978,0.395
India,1979,0.406
India,1980,0.419
India,1981,0.442
India,1982,0.446
India,1983,0.472
India,1984,0.474
India,1985,0.51
India,1986,0.534
India,1987,0.558
India,1988,0.59
India,1989,0.635
India,1990,0.664
India,1991,0.692
India,1992,0.722
India,1993,0.731
India,1994,0.758
India,1995,0.79
India,1996,0.839
India,1997,0.857
India,1998,0.859
India,1999,0.914
India,2000,0.923
India,2001,0.919
India,2002,0.931
India,2003,0.947
India,2004,0.99
India,2005,1.026
India,2006,1.074
India,2007,1.141
India,2008,1.211
India,2009,1.317
India,2010,1.351
India,2011,1.414
India,2012,1.54
India,2013,1.578
India,2014,1.673
India,2015,1.717
India,2016,1.781
India,2017,1.798
India,2018,1.9
India,2019,1.899
India,2020,1.751
India,2021,1.925
Italy,1960,2.205
Italy,1961,2.497
Italy,1962,2.916
Italy,1963,3.255
Italy,1964,3.446
Italy,1965,3.684
Italy,1966,4.124
Italy,1967,4.477
Italy,1968,4.732
Italy,1969,5.088
Italy,1970,5.558
Italy,1971,5.799
Italy,1972,6.079
Italy,1973,6.498
Italy,1974,6.543
Italy,1975,6.19
Italy,1976,6.604
Italy,1977,6.369
Italy,1978,6.644
Italy,1979,6.871
Italy,1980,6.86
Italy,1981,6.639
Italy,1982,6.484
Italy,1983,6.331
Italy,1984,6.439
Italy,1985,6.515
Italy,1986,6.412
Italy,1987,6.71
Italy,1988,6.811
Italy,1989,7.137
Italy,1990,7.744
Italy,1991,7.731
Italy,1992,7.73
Italy,1993,7.589
Italy,1994,7.485
Italy,1995,7.908
Italy,1996,7.804
Italy,1997,7.901
Italy,1998,8.113
Italy,1999,8.191
Italy,2000,8.259
Italy,2001,8.256
Italy,2002,8.37
Italy,2003,8.637
Italy,2004,8.668
Italy,2005,8.63
Italy,2006,8.503
Italy,2007,8.346
Italy,2008,8.086
Italy,2009,7.13
Italy,2010,7.29
Italy,2011,7.068
Italy,2012,6.707
Italy,2013,6.129
Italy,2014,5.792
Italy,2015,5.996
Italy,2016,5.958
Italy,2017,5.879
Italy,2018,5.829
Italy,2019,5.68
Italy,2020,5.08
Italy,2021,5.548
Japan,1960,2.461
Japan,1961,2.966
Japan,1962,3.042
Japan,1963,3.34
Japan,1964,3.65
Japan,1965,3.885
Japan,1966,4.173
Japan,1967,4.819
Japan,1968,5.465
Japan,1969,6.275
Japan,1970,7.285
Japan,1971,7.459
Japan,1972,7.874
Japan,1973,8.336
Japan,1974,8.23
Japan,1975,7.726
Japan,1976,7.984
Japan,1977,8.132
Japan,1978,7.785
Japan,1979,8.162
Japan,1980,8.033
Japan,1981,7.829
Japan,1982,7.535
Japan,1983,7.354
Japan,1984,7.778
Japan,1985,7.533
Japan,1986,7.495
Japan,1987,7.382
Japan,1988,8.025
Japan,1989,8.288
Japan,1990,9.363
Japan,1991,9.428
Japan,1992,9.478
Japan,1993,9.396
Japan,1994,9.811
Japan,1995,9.885
Japan,1996,9.962
Japan,1997,9.88
Japan,1998,9.542
Japan,1999,9.813
Japan,2000,9.973
Japan,2001,9.837
Japan,2002,10.05
Japan,2003,10.099
Japan,2004,10.05
Japan,2005,10.099
Japan,2006,9.911
Japan,2007,10.182
Japan,2008,9.623
Japan,2009,9.081
Japan,2010,9.485
Japan,2011,9.883
Japan,2012,10.216
Japan,2013,10.304
Japan,2014,9.919
Japan,2015,9.616
Japan,2016,9.48
Japan,2017,9.382
Japan,2018,9.056
Japan,2019,8.792
Japan,2020,8.321
Japan,2021,8.566
United Kingdom,1960,11.115
United Kingdom,1961,11.135
United Kingdom,1962,11.149
United Kingdom,1963,11.276
United Kingdom,1964,11.286
United Kingdom,1965,11.472
United Kingdom,1966,11.328
United Kingdom,1967,10.789
United Kingdom,1968,10.993
United Kingdom,1969,11.338
United Kingdom,1970,11.726
United Kingdom,1971,11.819
United Kingdom,1972,11.56
United Kingdom,1973,11.743
United Kingdom,1974,10.975
United Kingdom,1975,10.721
United Kingdom,1976,10.638
United Kingdom,1977,10.745
United Kingdom,1978,10.752
United Kingdom,1979,11.455
United Kingdom,1980,10.28
United Kingdom,1981,9.94
United Kingdom,1982,9.712
United Kingdom,1983,9.654
United Kingdom,1984,9.353
United Kingdom,1985,9.88
United Kingdom,1986,10.024
United Kingdom,1987,10.06
United Kingdom,1988,10.013
United Kingdom,1989,10.189
United Kingdom,1990,10.522
United Kingdom,1991,10.624
United Kingdom,1992,10.326
United Kingdom,1993,10.054
United Kingdom,1994,9.934
United Kingdom,1995,9.773
United Kingdom,1996,10.103
United Kingdom,1997,9.66
United Kingdom,1998,9.729
United Kingdom,1999,9.579
United Kingdom,2000,9.669
United Kingdom,2001,9.781
United Kingdom,2002,9.439
United Kingdom,2003,9.583
United Kingdom,2004,9.558
United Kingdom,2005,9.445
United Kingdom,2006,9.339
United Kingdom,2007,9.134
United Kingdom,2008,8.826
United Kingdom,2009,7.938
United Kingdom,2010,8.157
United Kingdom,2011,7.422
United Kingdom,2012,7.64
United Kingdom,2013,7.428
United Kingdom,2014,6.774
United Kingdom,2015,6.477
United Kingdom,2016,6.084
United Kingdom,2017,5.863
United Kingdom,2018,5.716
United Kingdom,2019,5.462
United Kingdom,2020,4.865
United Kingdom,2021,5.154
United States,1960,16.444
United States,1961,16.12
United States,1962,16.457
United States,1963,16.932
United States,1964,17.43
United States,1965,17.92
United States,1966,18.618
United States,1967,19.122
United States,1968,19.622
United States,1969,20.394
United States,1970,21.663
United States,1971,21.515
United States,1972,22.281
United States,1973,23.081
United States,1974,22.081
United States,1975,21.196
United States,1976,22.262
United States,1977,22.696
United States,1978,22.679
United States,1979,22.718
United States,1980,21.549
United States,1981,20.768
United States,1982,19.505
United States,1983,19.226
United States,1984,20.029
United States,1985,19.786
United States,1986,19.634
United States,1987,20.119
United States,1988,20.845
United States,1989,20.951
United States,1990,20.648
United States,1991,20.134
United States,1992,20.281
United States,1993,20.382
United States,1994,20.458
United States,1995,20.431
United States,1996,20.88
United States,1997,20.896
United States,1998,20.799
United States,1999,20.812
United States,2000,21.304
United States,2001,20.71
United States,2002,20.644
United States,2003,20.665
United States,2004,20.813
United States,2005,20.676
United States,2006,20.207
United States,2007,20.266
United States,2008,19.362
United States,2009,17.772
United States,2010,18.257
United States,2011,17.671
United States,2012,16.881
United States,2013,17.161
United States,2014,17.169
United States,2015,16.563
United States,2016,16.05
United States,2017,15.801
United States,2018,16.188
United States,2019,15.731
United States,2020,14.037
United States,2021,14.859
